gbm	categ
KCNA4	1
CHRND	1
PTCHD4	1
ENPP6	1
TMCC2	1
BOC	1
KIAA0100	1
RARA	1
PLCXD3	1
ATXN1	1
ACADS	1
SEZ6L2	1
PCDHA13	1
DGKB	1
GRIA3	1
DNAAF1	1
CNTLN	1
USHBP1	1
APBB1	1
MSANTD3	1
TARSL2	1
CPZ	1
FOXG1	1
ZNF81	1
AKAP13	1
HIRA	1
HDLBP	1
HSPA5	1
SASH1	1
CCDC85A	1
SCNN1B	1
SLMAP	1
IKBKAP	1
AXIN1	1
TRABD2A	1
TNFRSF25	1
OTX1	1
SLC9C1	1
SLC3A1	1
CETP	1
SLC6A3	1
CHRNG	1
HRC	1
DDR2	1
ACOT2	1
P2RX2	1
DAB1	1
HECW2	1
MMP15	1
DSG2	1
PDE6B	1
NRXN3	1
KIR3DL1	1
COBLL1	1
SMDT1	1
SMC3	1
SIX4	1
SLC12A7	1
FCER2	1
SEMA3F	1
CELSR2	1
GNA15	1
OR8H3	1
ITGA11	1
FAM208B	1
CORO7	1
MED13	1
PRKCD	1
LRRC32	1
KIF20B	1
TMEM25	1
NCOA4	1
VWA3B	1
ITGB8	1
TGM3	1
ZSWIM1	1
TRPS1	1
NETO1	1
PIGO	1
TRPM4	1
FN1	1
GPSM2	1
SNX33	1
MAGEB1	1
RFX2	1
DGKZ	1
DAO	1
ASAP1	1
YLPM1	1
SORBS2	1
KMT2D	1
SYCP2	1
CREB3L3	1
LTN1	1
VRK3	1
SVOPL	1
PRUNE2	1
C19orf35	1
NLRP11	1
BPTF	1
GALNT2	1
CYP4F22	1
CDH15	1
ARID3B	1
FAM63A	1
ZNF880	1
NUP210	1
CDC42BPB	1
NCAPG	1
CTAGE1	1
OR2T12	1
GPR132	1
KDM6A	1
ALPP	1
MLST8	1
ARMC4	1
SMG8	1
ADAMTSL3	1
GRIPAP1	1
CBFA2T3	1
RAG2	1
LRP6	1
ALB	1
VILL	1
SLC45A3	1
LILRA3	1
MRPS22	1
CYP2B6	1
KIAA2022	1
IL1RAPL2	1
CHD7	1
EFHC1	1
SRGAP1	1
USP24	1
GOLGB1	1
SPHKAP	1
DCDC1	1
CASR	1
AADACL4	1
PALM2	1
PNCK	1
KCNH3	1
PSEN1	1
ZNF462	1
MSR1	1
ATL3	1
DNAH1	1
FLNC	1
SLC22A10	1
CCNA1	1
GPR78	1
ZNF264	1
TMEM200A	1
LYNX1	1
TMEM175	1
FAM98A	1
KLK11	1
SLC18A3	1
DLGAP5	1
APOBEC3H	1
ATP5G1	1
KDM7A	1
FAM71B	1
PASK	1
OR10AG1	1
AMER3	1
C2CD5	1
GMEB2	1
SEPT10	1
DENND2C	1
LRRK2	1
CEP250	1
VRTN	1
MAGEC1	1
JHDM1D	1
LYZL2	1
RUNDC3A	1
SHANK1	1
DCK	1
ZFC3H1	1
NIPBL	1
FUT5	1
PTCD3	1
ATN1	1
PTPRB	1
GOLM1	1
NOD1	1
ZNF728	1
THSD4	1
